ANID,Ware,Country,Province,Site_Name,Ceramic Type,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V,,,
 *PCD1584,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.9199,17.3527,0.2691,18.2521,3.6607,2.1534,1.9528,34.6825,5.8739,22.664,0.2943,0.7716,19145,3.2411,0,9.82,0.6999,7.3949,568.37,0.5046,0.4648,6.1688,66.01,92.24,55240.9,270.7,273695.8,2.8644,4923,495.85,381,2872.3,52.05,,,
 PCD1588,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.6587,20.7508,0.3399,20.2727,4.2368,2.304,2.3195,39.9552,5.5794,31.541,0.3234,0.8837,25447.8,4.1029,24.44,7.89,0.8391,9.3673,503.19,0.6266,0.5288,7.9505,64.67,131.22,67116.7,439.9,211364,3.3589,4594.9,190.85,563.8,3664.9,66.41,,,
PCD1424,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,4.5875,13.9414,0.2186,12.3937,2.8232,1.9192,1.4928,27.1535,3.2504,21.966,0.2508,0.5838,16590.9,2.8448,0,5.75,0.5939,6.7537,693.27,0.4334,0.4043,5.5676,90.94,68.51,48709,629.9,252342.8,2.2072,1273.4,137.67,436.6,2977.6,47.92,,,
 *PCD1432,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.8897,18.43,0.2839,17.4288,3.7549,2.1816,1.9703,34.49,5.2088,30.901,0.4537,0.7916,23243.2,3.75,20.71,10.63,0.6896,8.9539,509.4,0.5772,0.5558,7.3675,50.57,71.85,66722,458.4,224572,2.9304,5125.9,176.39,874,2979.2,70.19,,,
 PCD1433,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,4.0756,15.7392,0.2313,14.4348,3.2206,2.042,1.6099,29.6128,4.1227,22.973,0.2304,0.6831,19220.1,3.1804,21.36,9.96,0.6257,7.2199,537.69,0.4756,0.4596,6.251,49.94,76.03,56572.6,343.6,249886.7,2.5638,5180,201.18,603,3008.4,49.52,,,
 PCD1434,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,6.2441,15.1132,0.2312,13.7828,3.0859,2.0387,1.6454,29.6723,3.687,26.258,0.2379,0.6453,17521.8,3.2259,0,9.25,0.5759,7.6222,575.41,0.4964,0.3965,6.2678,53.34,77.89,57080.3,522,249864,2.8567,4559.6,158.71,634.6,3366.5,68.11,,,
 PCD1436,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,6.4737,17.0986,0.2709,17.0107,3.5183,1.7496,1.7635,31.6041,5.6059,26.915,0.2743,0.7546,21029.2,3.4208,22.72,9.97,0.7084,8.2596,520.96,0.5321,0.4467,6.7752,44.17,80.31,59737.9,371.9,250422.1,2.8615,6234.9,345.49,558.7,3143.3,57.01,,,
 PCD1443,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.6307,19.3873,0.3001,15.2181,3.9175,2.1716,2.0575,36.501,5.2449,29.8035,0.3857,0.8447,23892.3,3.768,0,11.06,0.7001,9.2164,538.67,0.5934,0.5386,7.4878,58,101.2,66272.5,425.9,225524.1,3.1063,5341.3,161.04,845.4,3963,62.9,,,
 *PCD1497,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,4.7945,14.643,0.242,14.5301,3.0771,1.9967,1.6572,29.5651,3.7223,24.195,0.2767,0.6192,17593.9,3.0114,24.08,4.66,0.6047,7.026,709.4,0.4484,0.3864,6.0115,64.48,82.67,47134.3,527.4,247774.7,2.2504,1181.4,159.23,432.8,2984.6,47.15,,,
 PCD1501,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.116,16.2085,0.2528,14.7985,3.5039,2.0591,1.5704,33.0567,6.0776,23.6298,0.3041,0.6984,20382.6,3.2925,0,11.37,0.7257,7.3544,612.23,0.4989,0.4993,6.7625,56.74,78.48,53945.8,355.4,244173.8,2.2413,4932.2,494.62,683.7,2599.9,49.07,,,
