ANID,Ware,Country,Province,Site_Name,Ceramic Type,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V,,,
 PCD1213,Redwares,Guatemala,Peten,Macanché Island,Sacá Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1214,Redwares,Guatemala,Peten,Macanché Island,Sacá Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1215,Redwares,Guatemala,Peten,Macanché Island,Sacá Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1217,Redwares,Guatemala,Peten,Macanché Island,Sacá Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1200,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1202,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1205,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1206,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1207,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1208,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1219,Redwares,Guatemala,Peten,Macanché Island,Macanché Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1188,Redwares,Guatemala,Peten,Macanché Island,Picú Incised: Picú Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1192,Redwares,Guatemala,Peten,Macanché Island,Picú Incised: Picú Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1204,Redwares,Guatemala,Peten,Macanché Island,Picú Incised: Picú Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PCD1186,Redwares,Guatemala,Peten,Macanché Island,Picú Incised: Thub Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1187,Redwares,Guatemala,Peten,Macanché Island,Picú Incised: Thub Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1283,Redwares,Guatemala,Peten,Macanché Island,Fulano Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1287,Redwares,Guatemala,Peten,Macanché Island,Fulano Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1288,Redwares,Guatemala,Peten,Macanché Island,Fulano Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1280,Redwares,Guatemala,Peten,Macanché Island,Sotano Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1281,Redwares,Guatemala,Peten,Macanché Island,Sotano Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1282,Redwares,Guatemala,Peten,Macanché Island,Sotano Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1289,Redwares,Guatemala,Peten,Macanché Island,Sotano Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1284,Redwares,Guatemala,Peten,Macanché Island,Mengano Incised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1285,Redwares,Guatemala,Peten,Macanché Island,Mengano Incised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1286,Redwares,Guatemala,Peten,Macanché Island,Mengano Incised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1191,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1218,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1312,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1323,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1329,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1330,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1331,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1332,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1335,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1336,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1337,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1338,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1339,Redwares,Guatemala,Peten,Macanché Island,Trapeche Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1212,Redwares,Guatemala,Peten,Macanché Island,Picté Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1216,Redwares,Guatemala,Peten,Macanché Island,Picté Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1297,Redwares,Guatemala,Peten,Macanché Island,Picté Red-on-paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1311,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Ain Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1314,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Ain Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1316,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Ain Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1317,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Ain Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1318,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Ain Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1319,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Ain Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1310,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Tzalam Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1313,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Tzalam Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1314,Redwares,Guatemala,Peten,Macanché Island,Xuluc Incised:Tzalam Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1290,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1291,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1292,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1293,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1294,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1295,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1296,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1298,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1299,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1300,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1301,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1302,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1303,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1304,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1305,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1306,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1307,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1308,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1309,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1320,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1321,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1322,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1324,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1325,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1326,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1327,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1328,Redwares,Guatemala,Peten,Macanché Island,Mul Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1189,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1194,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1195,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1196,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1197,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1198,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1199,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1220,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1221,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1222,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1223,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1224,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1225,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1227,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1228,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1229,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1250,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1251,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1252,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1253,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1254,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1255,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1256,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1257,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1258,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1259,Redwares,Guatemala,Peten,Macanché Island,Topoxté Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1231,Redwares,Guatemala,Peten,Macanché Island,Pastel Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1232,Redwares,Guatemala,Peten,Macanché Island,Pastel Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1193,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1238,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1241,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1242,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1243,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1244,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1245,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1246,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1247,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1248,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1249,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Akalché Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1233,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1234,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1235,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1236,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1237,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1239,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1240,Redwares,Guatemala,Peten,Macanché Island,Chompoxté Red-on-paste: Chompoxté Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1230,Redwares,Guatemala,Peten,Macanché Island,Dulces Incised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1171,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1172,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1173,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1174,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1175,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1209,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1210,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1211,Incensarios,Guatemala,Peten,Macanché Island,Chaman Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1142,Incensarios,Guatemala,Peten,Macanché Island,Gotas Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1143,Incensarios,Guatemala,Peten,Macanché Island,Gotas Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1144,Incensarios,Guatemala,Peten,Macanché Island,Gotas Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1145,Incensarios,Guatemala,Peten,Macanché Island,Gotas Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1146,Incensarios,Guatemala,Peten,Macanché Island,Gotas Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1147,Incensarios,Guatemala,Peten,Macanché Island,Gotas Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1156,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1157,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1158,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1159,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1176,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1177,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1178,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1179,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1180,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1181,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1182,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1183,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1184,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1185,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1190,Incensarios,Guatemala,Peten,Macanché Island,Idolos Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1160,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1161,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1162,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1163,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1164,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1165,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1166,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1167,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1168,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1169,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1170,Incensarios,Guatemala,Peten,Macanché Island,Patojo Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1140,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1141,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1148,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1149,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1150,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1151,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1152,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1153,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1154,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1155,Incensarios,Guatemala,Peten,Macanché Island,La Justa Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1333,Incensarios,Guatemala,Peten,Macanché Island,Chuntuci Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1334 ,Incensarios,Guatemala,Peten,Macanché Island,Chuntuci Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD744,Redwares,Guatemala,Peten,Zacpetén,Paxcamàn Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD745,Redwares,Guatemala,Peten,Zacpetén,Paxcamàn Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD746,Redwares,Guatemala,Peten,Zacpetén,Paxcamàn Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD747,Redwares,Guatemala,Peten,Zacpetén,Paxcamàn Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
